date,city,rainfall,precipitation_sum,temperature,wind_speed
2010-01-01,Colombo,0.0,0.0,26.1,11.7
2010-01-01,Matale,0.0,0.0,23.5,17.7
2010-01-01,Kurunegala,0.0,0.0,24.8,19.2
2010-01-01,Bentota,0.0,0.0,26.3,11.7
2010-01-01,Mount Lavinia,0.0,0.0,26.1,11.7
2010-01-01,Kalutara,0.0,0.0,26.3,11.7
2010-01-01,Badulla,0.0,0.0,21.5,12.9
2010-01-01,Puttalam,0.0,0.0,26.0,21.0
2010-01-01,Mabole,0.0,0.0,26.1,17.9
2010-01-01,Gampaha,0.0,0.0,26.0,17.9
2010-01-01,Kesbewa,0.0,0.0,26.2,11.7
2010-01-01,Kolonnawa,0.0,0.0,26.1,17.9
2010-01-01,Weligama,0.4,0.4,26.3,7.2
2010-01-01,Mannar,0.0,0.0,26.0,25.2
2010-01-01,Athurugiriya,0.0,0.0,26.0,17.9
2010-01-01,Moratuwa,0.0,0.0,26.2,11.7
2010-01-01,Jaffna,0.0,0.0,26.6,27.1
2010-01-01,Galle,0.4,0.4,27.0,7.2
2010-01-01,Trincomalee,0.0,0.0,26.3,22.7
2010-01-01,Kalmunai,0.2,0.2,26.6,22.9
2010-01-01,Hambantota,0.0,0.0,26.2,18.2
2010-01-01,Maharagama,0.0,0.0,26.1,11.7
2010-01-01,Sri Jayewardenepura Kotte,0.0,0.0,26.1,17.9
2010-01-01,Negombo,0.0,0.0,26.2,17.9
2010-01-01,Kandy,0.0,0.0,22.0,15.3
2010-01-01,Ratnapura,0.1,0.1,25.4,5.9
2010-01-01,Oruwala,0.0,0.0,25.9,17.9
2010-01-01,Hatton,0.0,0.0,20.5,11.5
2010-01-01,Pothuhera,0.0,0.0,24.6,19.2
2010-01-01,Matara,0.4,0.4,26.2,7.2
2010-01-02,Galle,1.4,1.4,26.9,5.4
2010-01-02,Oruwala,0.0,0.0,26.1,17.7
2010-01-02,Jaffna,1.0,1.0,25.9,27.0
2010-01-02,Bentota,0.1,0.1,26.2,13.0
2010-01-02,Badulla,0.0,0.0,21.5,11.2
2010-01-02,Gampaha,0.0,0.0,26.0,17.7
2010-01-02,Kandy,0.0,0.0,22.2,13.3
2010-01-02,Matale,0.0,0.0,23.6,16.1
2010-01-02,Puttalam,0.1,0.1,26.0,19.4
2010-01-02,Sri Jayewardenepura Kotte,0.0,0.0,26.3,17.7
2010-01-02,Mabole,0.0,0.0,26.2,17.7
2010-01-02,Kalutara,0.1,0.1,26.3,13.0
2010-01-02,Kalmunai,1.9,1.9,26.4,22.9
2010-01-02,Hambantota,0.0,0.0,26.3,19.1
2010-01-02,Colombo,0.1,0.1,26.2,13.0
2010-01-02,Ratnapura,0.9,0.9,25.4,5.5
2010-01-02,Matara,1.4,1.4,26.1,5.4
2010-01-02,Kolonnawa,0.0,0.0,26.2,17.7
2010-01-02,Hatton,0.0,0.0,20.5,9.8
